Name: شارع البلبيسي, Instruction: Head west on شارع البلبيسي, Distance: 172.7 meters, Time: 124.3 seconds
Name: -, Instruction: Turn left, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: شارع الكومنولث, Instruction: Turn left onto شارع الكومنولث, Distance: 27.3 meters, Time: 19.7 seconds
Name: شارع الكومنولث, Instruction: Turn right onto شارع الكومنولث, Distance: 293.1 meters, Time: 211.1 seconds
Name: شارع الكومنولث, Instruction: Turn left onto شارع الكومنولث, Distance: 83.6 meters, Time: 60.2 seconds
Name: شارع احمد تيسير, Instruction: Turn left onto شارع احمد تيسير, Distance: 176.4 meters, Time: 127.0 seconds
Name: شارع احمد تيسير, Instruction: Enter the roundabout and take the 1st exit onto شارع احمد تيسير, Distance: 249.0 meters, Time: 179.3 seconds
Name: شارع خضر التونى, Instruction: Turn left onto شارع خضر التونى, Distance: 468.7 meters, Time: 337.4 seconds
Name: شارع الطيران, Instruction: Turn slight left onto شارع الطيران, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: شارع الطيران, Instruction: Turn left onto شارع الطيران, Distance: 98.0 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
