Name: Ungsteiner Straße, Instruction: Head south on Ungsteiner Straße, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Keep left, Distance: 146.5 meters, Time: 105.5 seconds
Name: Frankenthaler Straße, Instruction: Continue straight onto Frankenthaler Straße, Distance: 156.9 meters, Time: 112.9 seconds
Name: Perlacher Weg, Instruction: Turn right onto Perlacher Weg, Distance: 164.1 meters, Time: 118.1 seconds
Name: -, Instruction: Turn right, Distance: 140.2 meters, Time: 100.9 seconds
Name: Schwanseestraße, Instruction: Turn left onto Schwanseestraße, Distance: 494.9 meters, Time: 356.3 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: Schwanseestraße, Instruction: Turn left onto Schwanseestraße, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Keep right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 270.4 meters, Time: 194.7 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 197.4 meters, Time: 142.1 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: Lincolnstraße, Instruction: Turn right onto Lincolnstraße, Distance: 412.2 meters, Time: 296.8 seconds
Name: Leifstraße, Instruction: Turn left onto Leifstraße, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
