Name: Hall Place, Instruction: Head south on Hall Place, Distance: 45.9 meters, Time: 33.1 seconds
Name: Nelson Street, Instruction: Turn right onto Nelson Street, Distance: 305.7 meters, Time: 220.1 seconds
Name: -, Instruction: Turn right, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn slight left, Distance: 1083.3 meters, Time: 779.9 seconds
Name: Pembroke Road, Instruction: Turn right onto Pembroke Road, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Keep right, Distance: 230.2 meters, Time: 165.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
