Name: Rathausstraße, Instruction: Head north on Rathausstraße, Distance: 48.6 meters, Time: 35.0 seconds
Name: Anton-Ripfel-Weg, Instruction: Turn right onto Anton-Ripfel-Weg, Distance: 83.7 meters, Time: 60.2 seconds
Name: Eduard-Klas-Weg, Instruction: Turn left onto Eduard-Klas-Weg, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 439.7 meters, Time: 316.6 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Defreggerstraße, Instruction: Turn left onto Defreggerstraße, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Continue straight, Distance: 53.2 meters, Time: 38.3 seconds
Name: Tizianstraße, Instruction: Turn right onto Tizianstraße, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: Leiblstraße, Instruction: Turn slight left onto Leiblstraße, Distance: 96.6 meters, Time: 69.6 seconds
Name: Arastraße, Instruction: Turn right onto Arastraße, Distance: 145.9 meters, Time: 105.1 seconds
Name: Hohenbrunner Straße, Instruction: Turn left onto Hohenbrunner Straße, Distance: 164.3 meters, Time: 118.3 seconds
Name: Prof.-Berberich-Straße, Instruction: Turn right onto Prof.-Berberich-Straße, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at Prof.-Berberich-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
