Name: شارع اسماعيل, Instruction: Head east on شارع اسماعيل, Distance: 20.8 meters, Time: 14.9 seconds
Name: شارع الباجور, Instruction: Turn left onto شارع الباجور, Distance: 321.5 meters, Time: 231.5 seconds
Name: شارع الباجور, Instruction: Keep right onto شارع الباجور, Distance: 32.9 meters, Time: 23.7 seconds
Name: شارع الخلاء, Instruction: Turn left onto شارع الخلاء, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.4 seconds
Name: شارع الشهيد صلاح عشماوى زرد, Instruction: Turn left onto شارع الشهيد صلاح عشماوى زرد, Distance: 154.1 meters, Time: 111.0 seconds
Name: شارع الخلاء, Instruction: Turn right onto شارع الخلاء, Distance: 23.3 meters, Time: 16.7 seconds
Name: -, Instruction: Keep left, Distance: 26.9 meters, Time: 19.3 seconds
Name: شارع القادريه, Instruction: Turn sharp right onto شارع القادريه, Distance: 50.3 meters, Time: 36.2 seconds
Name: شارع صلاح سالم, Instruction: Turn sharp left onto شارع صلاح سالم, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.3 meters, Time: 19.0 seconds
Name: شارع صلاح سالم, Instruction: Turn slight left onto شارع صلاح سالم, Distance: 20.3 meters, Time: 14.6 seconds
Name: شارع بدر الدين, Instruction: Turn right onto شارع بدر الدين, Distance: 376.6 meters, Time: 271.2 seconds
Name: شارع السيده نفيسه, Instruction: Turn left onto شارع السيده نفيسه, Distance: 47.7 meters, Time: 34.4 seconds
Name: شارع السيده نفيسه, Instruction: Continue straight onto شارع السيده نفيسه, Distance: 207.6 meters, Time: 149.4 seconds
Name: شارع الاشراف, Instruction: Turn slight left onto شارع الاشراف, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 301.9 meters, Time: 217.3 seconds
Name: شارع علاء تينه, Instruction: Turn right onto شارع علاء تينه, Distance: 265.2 meters, Time: 190.9 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: شارع 4, Instruction: Turn left onto شارع 4, Distance: 52.5 meters, Time: 37.8 seconds
Name: طريق 5, Instruction: Turn right onto طريق 5, Distance: 28.8 meters, Time: 20.7 seconds
Name: طريق 6, Instruction: Turn left onto طريق 6, Distance: 6.1 meters, Time: 4.4 seconds
Name: طريق 5, Instruction: Turn right onto طريق 5, Distance: 71.5 meters, Time: 51.5 seconds
Name: شارع السيده نفيسه, Instruction: Turn left onto شارع السيده نفيسه, Distance: 17.3 meters, Time: 12.5 seconds
Name: شارع 4, Instruction: Turn sharp right onto شارع 4, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 94.1 meters, Time: 67.8 seconds
Name: ميدان زينهم, Instruction: Turn left onto ميدان زينهم, Distance: 24.8 meters, Time: 17.8 seconds
Name: شارع بيرم التونسي, Instruction: Turn sharp right onto شارع بيرم التونسي, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at شارع بيرم التونسي, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
