Name: شارع جرجس ابراهيم, Instruction: Head south on شارع جرجس ابراهيم, Distance: 22.1 meters, Time: 15.9 seconds
Name: شارع عطا الله حنا, Instruction: Turn left onto شارع عطا الله حنا, Distance: 311.3 meters, Time: 224.1 seconds
Name: شارع احمد حلمي, Instruction: Turn right onto شارع احمد حلمي, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: شارع احمد حلمي, Instruction: Turn left onto شارع احمد حلمي, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 58.1 meters, Time: 41.8 seconds
Name: شارع درب السكه الحديد, Instruction: Turn left onto شارع درب السكه الحديد, Distance: 56.2 meters, Time: 40.4 seconds
Name: شارع درب السكه الحديد, Instruction: Continue straight onto شارع درب السكه الحديد, Distance: 80.2 meters, Time: 57.7 seconds
Name: شارع درب السكه الحديد, Instruction: Keep right onto شارع درب السكه الحديد, Distance: 10.1 meters, Time: 7.3 seconds
Name: شارع درب السكه الحديد, Instruction: Continue straight onto شارع درب السكه الحديد, Distance: 183.4 meters, Time: 132.1 seconds
Name: -, Instruction: Arrive at شارع درب السكه الحديد, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
