Name: Rue Le Sueur, Instruction: Head south on Rue Le Sueur, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 153.3 meters, Time: 110.4 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn slight left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: Rue Rude, Instruction: Turn left onto Rue Rude, Distance: 71.4 meters, Time: 51.4 seconds
Name: Avenue de la Grande Armée, Instruction: Turn right onto Avenue de la Grande Armée, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn slight left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Rue de Tilsitt, Instruction: Turn left onto Rue de Tilsitt, Distance: 216.8 meters, Time: 156.1 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 309.7 meters, Time: 223.0 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 336.0 meters, Time: 241.9 seconds
Name: -, Instruction: Keep left, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
