Name: Grant Street, Instruction: Head southwest on Grant Street, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 171.0 meters, Time: 123.1 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: East 88th Avenue, Instruction: Turn left onto East 88th Avenue, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 171.7 meters, Time: 123.6 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
