Name: Wentworth Street, Instruction: Head northwest on Wentworth Street, Distance: 60.6 meters, Time: 43.7 seconds
Name: Denman Lane, Instruction: Turn left onto Denman Lane, Distance: 147.7 meters, Time: 106.3 seconds
Name: Broughton Street, Instruction: Turn right onto Broughton Street, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 205.2 meters, Time: 147.7 seconds
Name: Campbell Lane, Instruction: Turn right onto Campbell Lane, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn slight right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight right, Distance: 340.4 meters, Time: 245.1 seconds
Name: -, Instruction: Turn right, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn left, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 231.9 meters, Time: 167.0 seconds
Name: -, Instruction: Continue straight, Distance: 15.5 meters, Time: 11.2 seconds
Name: Cross Street, Instruction: Turn right onto Cross Street, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Arrive at Cross Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
