Name: Warwick Avenue, Instruction: Head southeast on Warwick Avenue, Distance: 196.8 meters, Time: 141.7 seconds
Name: Maida Avenue, Instruction: Turn left onto Maida Avenue, Distance: 163.1 meters, Time: 117.4 seconds
Name: Park Place Villas, Instruction: Turn right onto Park Place Villas, Distance: 608.9 meters, Time: 438.4 seconds
Name: -, Instruction: Keep right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 106.7 meters, Time: 76.9 seconds
Name: -, Instruction: Turn left, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn slight right, Distance: 23.4 meters, Time: 16.9 seconds
Name: Edgware Road, Instruction: Turn left onto Edgware Road, Distance: 12.4 meters, Time: 8.9 seconds
Name: Bell Street, Instruction: Turn right onto Bell Street, Distance: 421.0 meters, Time: 303.1 seconds
Name: Lisson Grove, Instruction: Turn right onto Lisson Grove, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 62.1 meters, Time: 44.7 seconds
Name: Harewood Avenue, Instruction: Turn right onto Harewood Avenue, Distance: 4.0 meters, Time: 2.9 seconds
Name: Harewood Row, Instruction: Turn left onto Harewood Row, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 149.1 meters, Time: 107.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
