Name: Graham Street, Instruction: Head northwest on Graham Street, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 123.0 meters, Time: 88.6 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 42.6 meters, Time: 30.6 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep right, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Keep right, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 139.3 meters, Time: 100.3 seconds
Name: -, Instruction: Keep right, Distance: 135.4 meters, Time: 97.5 seconds
Name: Queen Street, Instruction: Turn left onto Queen Street, Distance: 35.6 meters, Time: 25.6 seconds
Name: Galway Street, Instruction: Turn right onto Galway Street, Distance: 331.5 meters, Time: 238.7 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 121.1 meters, Time: 87.2 seconds
Name: Scene Lane, Instruction: Turn left onto Scene Lane, Distance: 114.8 meters, Time: 82.6 seconds
Name: Scene Lane, Instruction: Keep left onto Scene Lane, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight left, Distance: 55.6 meters, Time: 40.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
