Name: Aldersbrook Road, A116, Instruction: Head northwest on Aldersbrook Road, A116, Distance: 137.4 meters, Time: 98.9 seconds
Name: Harpenden Road, Instruction: Turn right onto Harpenden Road, Distance: 6.2 meters, Time: 4.5 seconds
Name: Aldersbrook Road, Instruction: Turn left onto Aldersbrook Road, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Keep left, Distance: 402.5 meters, Time: 289.8 seconds
Name: -, Instruction: Keep right, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Keep left, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Keep left, Distance: 84.5 meters, Time: 60.8 seconds
Name: Centre Road, A114, Instruction: Turn right onto Centre Road, A114, Distance: 10.2 meters, Time: 7.3 seconds
Name: Lake House Road, Instruction: Turn sharp left onto Lake House Road, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: Lake House Road, Instruction: Turn left onto Lake House Road, Distance: 61.0 meters, Time: 43.9 seconds
Name: Windsor Road, Instruction: Turn right onto Windsor Road, Distance: 252.5 meters, Time: 181.8 seconds
Name: Belgrave Road, Instruction: Turn right onto Belgrave Road, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 245.7 meters, Time: 176.9 seconds
Name: Bushwood, Instruction: Turn right onto Bushwood, Distance: 10.6 meters, Time: 7.6 seconds
Name: Leybourne Road, Instruction: Turn left onto Leybourne Road, Distance: 165.6 meters, Time: 119.3 seconds
Name: Woodville Road, Instruction: Turn right onto Woodville Road, Distance: 308.4 meters, Time: 222.1 seconds
Name: Mornington Road, Instruction: Turn slight right onto Mornington Road, Distance: 14.0 meters, Time: 10.1 seconds
Name: Grove Road, Instruction: Turn left onto Grove Road, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
