Name: Avenida 509, Instruction: Head north on Avenida 509, Distance: 350.6 meters, Time: 252.4 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Calle Cuarta 515, Instruction: Turn right onto Calle Cuarta 515, Distance: 211.9 meters, Time: 152.6 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: 5a. Cerrada 523, Instruction: Turn left onto 5a. Cerrada 523, Distance: 136.5 meters, Time: 98.3 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: Calle Cuarta 529, Instruction: Turn sharp right onto Calle Cuarta 529, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 117.5 meters, Time: 84.6 seconds
Name: Avenida 535, Instruction: Turn right onto Avenida 535, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Arrive at Avenida 535, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
