Name: Voglbachlweg, Instruction: Head north on Voglbachlweg, Distance: 35.7 meters, Time: 25.7 seconds
Name: Brunnenplatz, Instruction: Continue straight onto Brunnenplatz, Distance: 24.1 meters, Time: 17.4 seconds
Name: Brunnbachlweg, Instruction: Turn right onto Brunnbachlweg, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 450.7 meters, Time: 324.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Föhringer Allee, Instruction: Turn left onto Föhringer Allee, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 190.0 meters, Time: 136.8 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn slight left, Distance: 15.8 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 638.6 meters, Time: 459.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
