Name: Thornwood Road, Instruction: Head south on Thornwood Road, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 142.7 meters, Time: 102.7 seconds
Name: -, Instruction: Keep right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Keep right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Wrentham Place, Instruction: Turn right onto Wrentham Place, Distance: 6.0 meters, Time: 4.3 seconds
Name: Crescent Road, Instruction: Turn left onto Crescent Road, Distance: 126.5 meters, Time: 91.1 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Scarth Road, Instruction: Turn sharp left onto Scarth Road, Distance: 224.5 meters, Time: 161.7 seconds
Name: South Drive, Instruction: Turn left onto South Drive, Distance: 81.4 meters, Time: 58.6 seconds
Name: Sherbourne Street North, Instruction: Turn right onto Sherbourne Street North, Distance: 181.4 meters, Time: 130.6 seconds
Name: Maple Avenue, Instruction: Turn left onto Maple Avenue, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 290.9 meters, Time: 209.4 seconds
Name: -, Instruction: Keep right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 329.5 meters, Time: 237.2 seconds
Name: -, Instruction: Turn right, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.0 meters, Time: 5.0 seconds
Name: Howard Street, Instruction: Turn left onto Howard Street, Distance: 11.4 meters, Time: 8.2 seconds
Name: Rose Avenue, Instruction: Turn right onto Rose Avenue, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
