Name: Calle Tabasco, Instruction: Head southeast on Calle Tabasco, Distance: 190.4 meters, Time: 137.1 seconds
Name: Calle Morelos, Instruction: Turn left onto Calle Morelos, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 142.7 meters, Time: 102.8 seconds
Name: -, Instruction: Turn left, Distance: 150.6 meters, Time: 108.4 seconds
Name: -, Instruction: Turn left, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: Calle 18 de Marzo, Instruction: Turn right onto Calle 18 de Marzo, Distance: 13.4 meters, Time: 9.6 seconds
Name: Prolongación 5 de Mayo, Instruction: Turn left onto Prolongación 5 de Mayo, Distance: 74.9 meters, Time: 53.9 seconds
Name: Calle Aguascalientes, Instruction: Turn right onto Calle Aguascalientes, Distance: 156.5 meters, Time: 112.7 seconds
Name: Avenida la Palma, Instruction: Turn right onto Avenida la Palma, Distance: 119.0 meters, Time: 85.7 seconds
Name: Calle Licenciado Adolfo López Mateos, Instruction: Turn sharp right onto Calle Licenciado Adolfo López Mateos, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Arrive at Calle Licenciado Adolfo López Mateos, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
