Name: Chapman Avenue, Instruction: Head west on Chapman Avenue, Distance: 0.2 meters, Time: 0.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.9 seconds
Name: Dawes Road, Instruction: Turn right onto Dawes Road, Distance: 34.3 meters, Time: 24.7 seconds
Name: Donora Drive, Instruction: Turn sharp left onto Donora Drive, Distance: 344.4 meters, Time: 247.9 seconds
Name: -, Instruction: Turn right, Distance: 559.5 meters, Time: 402.8 seconds
Name: -, Instruction: Keep left, Distance: 429.1 meters, Time: 308.9 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 188.0 meters, Time: 135.4 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: Thora Avenue, Instruction: Turn right onto Thora Avenue, Distance: 179.6 meters, Time: 129.3 seconds
Name: -, Instruction: Arrive at Thora Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
