Name: Mason's Avenue, Instruction: Head east on Mason's Avenue, Distance: 6.8 meters, Time: 4.9 seconds
Name: Coleman Street, Instruction: Turn right onto Coleman Street, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: Lothbury, Instruction: Turn left onto Lothbury, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.0 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Keep right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Keep right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 480.2 meters, Time: 345.7 seconds
Name: London Bridge Walk, Instruction: Keep left onto London Bridge Walk, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.8 seconds
Name: Tooley Street, Instruction: Turn left onto Tooley Street, Distance: 184.2 meters, Time: 132.7 seconds
Name: Tooley Street, Instruction: Continue straight onto Tooley Street, Distance: 84.4 meters, Time: 60.8 seconds
Name: Bermondsey Street, A2205, Instruction: Turn right onto Bermondsey Street, A2205, Distance: 94.1 meters, Time: 67.8 seconds
Name: Magdalen Street, Instruction: Turn left onto Magdalen Street, Distance: 13.4 meters, Time: 9.6 seconds
Name: Holyrood Street, Instruction: Turn right onto Holyrood Street, Distance: 25.8 meters, Time: 18.6 seconds
Name: Gibbons Rents, Instruction: Turn left onto Gibbons Rents, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
