Name: Black Teal Close, Instruction: Head west on Black Teal Close, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn right, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.6 seconds
Name: -, Instruction: Keep right, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Keep left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Condor Place, Instruction: Turn right onto Condor Place, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
