Name: Gunyah Drive, Instruction: Head north on Gunyah Drive, Distance: 7.6 meters, Time: 5.5 seconds
Name: Bradley Street, Instruction: Turn right onto Bradley Street, Distance: 43.5 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn slight left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight right, Distance: 63.4 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Continue straight, Distance: 6.1 meters, Time: 4.4 seconds
Name: Tall Trees Drive, Instruction: Turn left onto Tall Trees Drive, Distance: 8.4 meters, Time: 6.0 seconds
Name: Blue View Terrace, Instruction: Turn right onto Blue View Terrace, Distance: 351.8 meters, Time: 253.3 seconds
Name: Branksome Way, Instruction: Turn left onto Branksome Way, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 180.2 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 114.1 meters, Time: 82.2 seconds
Name: -, Instruction: Turn slight left, Distance: 289.7 meters, Time: 208.6 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 141.0 meters, Time: 101.5 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
