Name: Mountain Road, Instruction: Head northwest on Mountain Road, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 166.7 meters, Time: 120.0 seconds
Name: -, Instruction: Turn left, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Turn right, Distance: 245.3 meters, Time: 176.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 352.8 meters, Time: 254.0 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 168.9 meters, Time: 121.6 seconds
Name: -, Instruction: Turn right, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 252.7 meters, Time: 182.0 seconds
Name: -, Instruction: Turn left, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn slight right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Ruru Street, Instruction: Turn right onto Ruru Street, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.8 seconds
Name: Charlotte Street, Instruction: Turn right onto Charlotte Street, Distance: 242.8 meters, Time: 174.8 seconds
Name: Virginia Avenue East, Instruction: Turn left onto Virginia Avenue East, Distance: 31.5 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn slight right, Distance: 14.3 meters, Time: 10.3 seconds
Name: Evelyn Street, Instruction: Turn right onto Evelyn Street, Distance: 38.1 meters, Time: 27.4 seconds
Name: Devon Street, Instruction: Turn right onto Devon Street, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at Devon Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
