Name: Rue des Dardanelles, Instruction: Head southeast on Rue des Dardanelles, Distance: 8.1 meters, Time: 5.8 seconds
Name: Boulevard Pershing, Instruction: Turn left onto Boulevard Pershing, Distance: 12.1 meters, Time: 8.7 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn right onto Boulevard Gouvion-Saint-Cyr, Distance: 20.2 meters, Time: 14.5 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn right onto Boulevard Gouvion-Saint-Cyr, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn slight left, Distance: 417.5 meters, Time: 300.6 seconds
Name: Place Tristan Bernard, Instruction: Turn right onto Place Tristan Bernard, Distance: 57.0 meters, Time: 41.1 seconds
Name: Rue d'Armaillé, Instruction: Continue straight onto Rue d'Armaillé, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 223.4 meters, Time: 160.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 166.7 meters, Time: 120.0 seconds
Name: -, Instruction: Keep left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
