Name: Praça do Repentista, Instruction: Head northwest on Praça do Repentista, Distance: 17.7 meters, Time: 12.7 seconds
Name: Avenida Bahia, Instruction: Turn left onto Avenida Bahia, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn right, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: Campo de São Cristóvão, Instruction: Turn sharp right onto Campo de São Cristóvão, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: Campo de São Cristóvão, Instruction: Turn right onto Campo de São Cristóvão, Distance: 8.3 meters, Time: 6.0 seconds
Name: Campo de São Cristóvão, Instruction: Continue straight onto Campo de São Cristóvão, Distance: 73.4 meters, Time: 52.9 seconds
Name: Rua Almirante Mariath, Instruction: Keep left onto Rua Almirante Mariath, Distance: 54.2 meters, Time: 39.0 seconds
Name: Rua Bela, Instruction: Turn left onto Rua Bela, Distance: 1154.7 meters, Time: 831.4 seconds
Name: Rua Retiro Saudoso, Instruction: Turn right onto Rua Retiro Saudoso, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn left, Distance: 213.9 meters, Time: 154.0 seconds
Name: Rua Retiro Saudoso, Instruction: Turn right onto Rua Retiro Saudoso, Distance: 166.8 meters, Time: 120.1 seconds
Name: Rua Retiro Saudoso, Instruction: Continue straight onto Rua Retiro Saudoso, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 241.2 meters, Time: 173.7 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.8 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
