Name: Blantyre Avenue, Instruction: Head south on Blantyre Avenue, Distance: 244.3 meters, Time: 175.9 seconds
Name: -, Instruction: Turn right, Distance: 212.8 meters, Time: 153.2 seconds
Name: -, Instruction: Keep left, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Keep left, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight left, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Keep left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight left, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Keep left, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: Jim Wilson Lane, Instruction: Turn left onto Jim Wilson Lane, Distance: 3.9 meters, Time: 2.8 seconds
Name: Hannaford Street, Instruction: Turn right onto Hannaford Street, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Arrive at Hannaford Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
