Name: Lambrown Drive, Instruction: Head west on Lambrown Drive, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn left, Distance: 246.0 meters, Time: 177.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Cheval Drive, Instruction: Turn left onto Cheval Drive, Distance: 57.5 meters, Time: 41.4 seconds
Name: Cheval Drive, Instruction: Keep right onto Cheval Drive, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 175.6 meters, Time: 126.4 seconds
Name: -, Instruction: Keep left, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 228.9 meters, Time: 164.8 seconds
Name: -, Instruction: Keep right, Distance: 217.3 meters, Time: 156.5 seconds
Name: -, Instruction: Keep right, Distance: 197.2 meters, Time: 141.9 seconds
Name: -, Instruction: Keep right, Distance: 37.6 meters, Time: 27.0 seconds
Name: -, Instruction: Keep right, Distance: 210.7 meters, Time: 151.7 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 445.7 meters, Time: 320.9 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
