Name: Fürstenrieder Straße, Instruction: Head south on Fürstenrieder Straße, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 40.5 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 86.5 meters, Time: 62.2 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.7 seconds
Name: Inderstorferstraße, Instruction: Turn right onto Inderstorferstraße, Distance: 14.0 meters, Time: 10.1 seconds
Name: Joergstraße, Instruction: Turn left onto Joergstraße, Distance: 916.0 meters, Time: 659.5 seconds
Name: Alpenveilchenstraße, Instruction: Turn right onto Alpenveilchenstraße, Distance: 29.3 meters, Time: 21.1 seconds
Name: Krokusstraße, Instruction: Turn left onto Krokusstraße, Distance: 792.8 meters, Time: 570.8 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
