Name: Rue Fromentin, Instruction: Head south on Rue Fromentin, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Place André Breton, Instruction: Turn left onto Place André Breton, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 171.2 meters, Time: 123.3 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: Rue Catherine de La Rochefoucauld, Instruction: Turn right onto Rue Catherine de La Rochefoucauld, Distance: 179.4 meters, Time: 129.2 seconds
Name: Rue d'Aumale, Instruction: Turn left onto Rue d'Aumale, Distance: 93.8 meters, Time: 67.6 seconds
Name: Rue Taitbout, Instruction: Turn right onto Rue Taitbout, Distance: 528.4 meters, Time: 380.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 99.9 meters, Time: 71.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 46.4 meters, Time: 33.4 seconds
Name: Rue des Italiens, Instruction: Turn right onto Rue des Italiens, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
