Name: Marianne-Plehn-Straße, Instruction: Head southwest on Marianne-Plehn-Straße, Distance: 397.2 meters, Time: 286.0 seconds
Name: Sankt-Augustinus-Straße, Instruction: Turn right onto Sankt-Augustinus-Straße, Distance: 21.0 meters, Time: 15.1 seconds
Name: Hälblingweg, Instruction: Turn left onto Hälblingweg, Distance: 165.6 meters, Time: 119.3 seconds
Name: -, Instruction: Turn right, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: Säntisstraße, Instruction: Turn right onto Säntisstraße, Distance: 357.6 meters, Time: 257.5 seconds
Name: Zehntfeldstraße, Instruction: Turn left onto Zehntfeldstraße, Distance: 14.0 meters, Time: 10.1 seconds
Name: Max-Beckmann-Straße, Instruction: Turn right onto Max-Beckmann-Straße, Distance: 169.9 meters, Time: 122.3 seconds
Name: -, Instruction: Turn right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 311.9 meters, Time: 224.5 seconds
Name: Max-Kolmsperger-Straße, Instruction: Turn left onto Max-Kolmsperger-Straße, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Arrive at Max-Kolmsperger-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
