Name: Expo Drive, Instruction: Head northwest on Expo Drive, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 160.9 meters, Time: 115.8 seconds
Name: -, Instruction: Turn slight left, Distance: 251.6 meters, Time: 181.1 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: Upper Changi Link, Instruction: Turn right onto Upper Changi Link, Distance: 155.0 meters, Time: 111.6 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn slight right, Distance: 190.1 meters, Time: 136.9 seconds
Name: Jalan Angin Laut, Instruction: Turn left onto Jalan Angin Laut, Distance: 3.6 meters, Time: 2.6 seconds
Name: Jalan Angin Laut, Instruction: Turn right onto Jalan Angin Laut, Distance: 76.1 meters, Time: 54.8 seconds
Name: Jalan Angin Laut, Instruction: Turn left onto Jalan Angin Laut, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
