Name: Hawke Place, Instruction: Head south on Hawke Place, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 351.2 meters, Time: 252.9 seconds
Name: -, Instruction: Turn right, Distance: 293.5 meters, Time: 211.3 seconds
Name: -, Instruction: Turn slight left, Distance: 343.8 meters, Time: 247.5 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 290.6 meters, Time: 209.2 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 436.6 meters, Time: 314.3 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 139.5 meters, Time: 100.5 seconds
Name: Knoll Rise, Instruction: Turn left onto Knoll Rise, Distance: 179.3 meters, Time: 129.1 seconds
Name: -, Instruction: Arrive at Knoll Rise, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
