Name: شارع السبع عمارات, Instruction: Head west on شارع السبع عمارات, Distance: 189.7 meters, Time: 136.6 seconds
Name: شارع مدينة الخبراء, Instruction: Turn slight right onto شارع مدينة الخبراء, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 212.3 meters, Time: 152.9 seconds
Name: -, Instruction: Turn right, Distance: 167.0 meters, Time: 120.2 seconds
Name: -, Instruction: Turn left, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn left, Distance: 103.4 meters, Time: 74.4 seconds
Name: -, Instruction: Keep right, Distance: 81.5 meters, Time: 58.7 seconds
Name: شارع الصفا و المروه, Instruction: Turn right onto شارع الصفا و المروه, Distance: 4.8 meters, Time: 3.5 seconds
Name: شارع مسجد الصفا و المروة, Instruction: Turn left onto شارع مسجد الصفا و المروة, Distance: 254.2 meters, Time: 183.0 seconds
Name: شارع المدرسه, Instruction: Turn right onto شارع المدرسه, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn left, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: شارع عنتره, Instruction: Turn left onto شارع عنتره, Distance: 56.0 meters, Time: 40.3 seconds
Name: شارع جبل عرف, Instruction: Turn left onto شارع جبل عرف, Distance: 281.7 meters, Time: 202.8 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
