Name: Kinkleway Avenue, Instruction: Head south on Kinkleway Avenue, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: Draper Street, Instruction: Turn right onto Draper Street, Distance: 53.7 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 103.9 meters, Time: 74.8 seconds
Name: Stegmann Road, Instruction: Turn left onto Stegmann Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn right, Distance: 394.8 meters, Time: 284.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn slight left, Distance: 163.3 meters, Time: 117.6 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 109.8 meters, Time: 79.1 seconds
Name: Bath Road, Instruction: Turn left onto Bath Road, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Arrive at Bath Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
