Name: شارع 33, Instruction: Head northeast on شارع 33, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 409.3 meters, Time: 294.7 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 66.0 seconds
Name: محور نجيب محفوظ الجانبى, Instruction: Turn slight right onto محور نجيب محفوظ الجانبى, Distance: 492.4 meters, Time: 354.5 seconds
Name: محور نجيب محفوظ, Instruction: Turn slight right onto محور نجيب محفوظ, Distance: 176.2 meters, Time: 126.9 seconds
Name: محور مصطفى كامل, Instruction: Turn slight right onto محور مصطفى كامل, Distance: 216.9 meters, Time: 156.2 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: محور مصطفى كامل, Instruction: Turn slight left onto محور مصطفى كامل, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 223.6 meters, Time: 161.0 seconds
Name: شارع الشيخ جاد الحق, Instruction: Turn left onto شارع الشيخ جاد الحق, Distance: 64.5 meters, Time: 46.5 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: شارع الشيخ جاد الحق, Instruction: Turn left onto شارع الشيخ جاد الحق, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn right, Distance: 189.5 meters, Time: 136.4 seconds
Name: شارع الشيخ محمد الجزاوى, Instruction: Turn left onto شارع الشيخ محمد الجزاوى, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: شارع عبدالرحمن بيصار, Instruction: Turn right onto شارع عبدالرحمن بيصار, Distance: 82.6 meters, Time: 59.5 seconds
Name: شارع أم كلثوم, Instruction: Turn left onto شارع أم كلثوم, Distance: 10.6 meters, Time: 7.7 seconds
Name: شارع عبدالرحمن بيصار, Instruction: Turn right onto شارع عبدالرحمن بيصار, Distance: 14.9 meters, Time: 10.7 seconds
Name: شارع أم كلثوم, Instruction: Turn left onto شارع أم كلثوم, Distance: 43.9 meters, Time: 31.6 seconds
Name: شارع أم كلثوم, Instruction: Continue straight onto شارع أم كلثوم, Distance: 151.2 meters, Time: 108.9 seconds
Name: -, Instruction: Turn right, Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn slight right, Distance: 60.6 meters, Time: 43.7 seconds
Name: شارع هنرى بركات, Instruction: Turn left onto شارع هنرى بركات, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 85.7 meters, Time: 61.7 seconds
Name: شارع الشهيد محمود عبدالله, Instruction: Turn left onto شارع الشهيد محمود عبدالله, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
