Name: Dover Road, Instruction: Head northwest on Dover Road, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Turn right, Distance: 245.3 meters, Time: 176.6 seconds
Name: -, Instruction: Turn left, Distance: 244.9 meters, Time: 176.4 seconds
Name: -, Instruction: Turn right, Distance: 77.6 meters, Time: 55.9 seconds
Name: -, Instruction: Continue straight, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 94.8 meters, Time: 68.3 seconds
Name: Medical Drive, Instruction: Continue straight onto Medical Drive, Distance: 83.2 meters, Time: 59.9 seconds
Name: Medical Drive, Instruction: Continue straight onto Medical Drive, Distance: 77.8 meters, Time: 56.0 seconds
Name: Medical Drive, Instruction: Turn right onto Medical Drive, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 38.6 meters, Time: 27.8 seconds
Name: Kent Ridge Road, Instruction: Turn right onto Kent Ridge Road, Distance: 412.8 meters, Time: 297.2 seconds
Name: -, Instruction: Turn left, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 146.2 meters, Time: 105.2 seconds
Name: Research Link, Instruction: Turn right onto Research Link, Distance: 54.3 meters, Time: 39.1 seconds
Name: Research Link, Instruction: Continue straight onto Research Link, Distance: 11.8 meters, Time: 8.5 seconds
Name: Research Link, Instruction: Turn right onto Research Link, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 170.4 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Keep left, Distance: 17.1 meters, Time: 12.3 seconds
Name: Heng Mui Keng Terrace, Instruction: Turn sharp left onto Heng Mui Keng Terrace, Distance: 18.9 meters, Time: 13.6 seconds
Name: Heng Mui Keng Terrace, Instruction: Turn right onto Heng Mui Keng Terrace, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
