Name: William Street, Instruction: Head west on William Street, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 325.2 meters, Time: 234.2 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Keep left, Distance: 388.6 meters, Time: 279.8 seconds
Name: -, Instruction: Turn right, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.8 seconds
Name: Glenmore Road, Instruction: Turn left onto Glenmore Road, Distance: 30.3 meters, Time: 21.8 seconds
Name: South Street, Instruction: Turn right onto South Street, Distance: 37.1 meters, Time: 26.7 seconds
Name: Artlett Street, Instruction: Turn right onto Artlett Street, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Arrive at Artlett Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
