Name: Roosevelt Road, Instruction: Head south on Roosevelt Road, Distance: 201.3 meters, Time: 144.9 seconds
Name: Sammon Avenue, Instruction: Turn right onto Sammon Avenue, Distance: 62.1 meters, Time: 44.7 seconds
Name: Monarch Park Avenue, Instruction: Turn left onto Monarch Park Avenue, Distance: 528.9 meters, Time: 380.8 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: Strathmore Boulevard, Instruction: Turn right onto Strathmore Boulevard, Distance: 204.8 meters, Time: 147.5 seconds
Name: -, Instruction: Turn left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 168.7 meters, Time: 121.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Keep left, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 440.8 meters, Time: 317.4 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
