Name: Warwick Avenue, Instruction: Head southeast on Warwick Avenue, Distance: 166.7 meters, Time: 120.1 seconds
Name: Blomfield Road, Instruction: Turn left onto Blomfield Road, Distance: 441.7 meters, Time: 318.0 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: Blomfield Road, Instruction: Turn left onto Blomfield Road, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: Edgware Road, Instruction: Turn right onto Edgware Road, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.4 seconds
Name: Lyons Place, Instruction: Turn right onto Lyons Place, Distance: 3.0 meters, Time: 2.2 seconds
Name: Orchardson Street, Instruction: Turn left onto Orchardson Street, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Penfold Street, Instruction: Turn sharp right onto Penfold Street, Distance: 192.5 meters, Time: 138.6 seconds
Name: -, Instruction: Continue straight, Distance: 38.7 meters, Time: 27.9 seconds
Name: Penfold Street, Instruction: Continue straight onto Penfold Street, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn slight left, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: Lisson Street, Instruction: Turn left onto Lisson Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: Ashmill Street, Instruction: Turn slight right onto Ashmill Street, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Arrive at Ashmill Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
