Name: Calle Doctor Atl, Instruction: Head northwest on Calle Doctor Atl, Distance: 6.4 meters, Time: 4.6 seconds
Name: Calzada de Guadalupe, Instruction: Turn right onto Calzada de Guadalupe, Distance: 23.7 meters, Time: 17.1 seconds
Name: Calzada de Guadalupe, Instruction: Keep right onto Calzada de Guadalupe, Distance: 35.3 meters, Time: 25.4 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 258.2 meters, Time: 185.9 seconds
Name: Calzada de las Bombas, Instruction: Turn right onto Calzada de las Bombas, Distance: 642.8 meters, Time: 462.8 seconds
Name: Calle Rancho San Lorenzo, Instruction: Turn right onto Calle Rancho San Lorenzo, Distance: 15.3 meters, Time: 11.0 seconds
Name: Calzada de las Bombas, Instruction: Turn left onto Calzada de las Bombas, Distance: 142.6 meters, Time: 102.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 143.5 meters, Time: 103.3 seconds
Name: Calzada de las Bombas, Instruction: Turn slight right onto Calzada de las Bombas, Distance: 413.8 meters, Time: 297.9 seconds
Name: Calle Rancho Cosolapa, Instruction: Turn left onto Calle Rancho Cosolapa, Distance: 21.4 meters, Time: 15.4 seconds
Name: Calzada de las Bombas, Instruction: Turn right onto Calzada de las Bombas, Distance: 69.1 meters, Time: 49.7 seconds
Name: -, Instruction: Arrive at Calzada de las Bombas, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
