Name: 東京大仏通り, Instruction: Head southeast on 東京大仏通り, Distance: 55.6 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Keep left, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Keep right, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Turn left, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn right, Distance: 98.4 meters, Time: 70.9 seconds
Name: -, Instruction: Continue straight, Distance: 460.6 meters, Time: 331.6 seconds
Name: -, Instruction: Keep right, Distance: 201.8 meters, Time: 145.3 seconds
Name: -, Instruction: Continue straight, Distance: 191.2 meters, Time: 137.7 seconds
Name: -, Instruction: Turn left, Distance: 103.4 meters, Time: 74.4 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn right, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
