Name: Wharf Road, Instruction: Head west on Wharf Road, Distance: 83.8 meters, Time: 60.3 seconds
Name: The Parade, Instruction: Turn sharp left onto The Parade, Distance: 304.5 meters, Time: 219.3 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: The Parade, Instruction: Turn right onto The Parade, Distance: 395.2 meters, Time: 284.6 seconds
Name: Laings Road, Instruction: Turn slight left onto Laings Road, Distance: 155.0 meters, Time: 111.6 seconds
Name: Laings Road, Instruction: Keep right onto Laings Road, Distance: 52.4 meters, Time: 37.7 seconds
Name: Bucklands Beach Road, Instruction: Continue straight onto Bucklands Beach Road, Distance: 154.5 meters, Time: 111.2 seconds
Name: Sea Spray Drive, Instruction: Turn right onto Sea Spray Drive, Distance: 110.6 meters, Time: 79.6 seconds
Name: Sorrel Crescent, Instruction: Turn left onto Sorrel Crescent, Distance: 226.2 meters, Time: 162.8 seconds
Name: -, Instruction: Turn left, Distance: 116.9 meters, Time: 84.2 seconds
Name: Mander Place, Instruction: Turn right onto Mander Place, Distance: 71.6 meters, Time: 51.5 seconds
Name: Wells Road, Instruction: Turn right onto Wells Road, Distance: 87.2 meters, Time: 62.8 seconds
Name: Wells Road, Instruction: Turn left onto Wells Road, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
