Name: Rua Maravilha, Instruction: Head northeast on Rua Maravilha, Distance: 123.9 meters, Time: 89.2 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn right onto Rua Leopoldo Bulhões, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 182.3 meters, Time: 131.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.5 meters, Time: 41.4 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn right onto Rua Leopoldo Bulhões, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Continue straight, Distance: 81.9 meters, Time: 58.9 seconds
Name: Rua Madiba, Instruction: Turn right onto Rua Madiba, Distance: 41.2 meters, Time: 29.7 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn left onto Rua Leopoldo Bulhões, Distance: 508.1 meters, Time: 365.8 seconds
Name: Rua Rio Grande do Norte, Instruction: Turn left onto Rua Rio Grande do Norte, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn right, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn right, Distance: 413.1 meters, Time: 297.4 seconds
Name: Rua Arará, Instruction: Turn slight right onto Rua Arará, Distance: 101.0 meters, Time: 72.7 seconds
Name: Beco 35, Instruction: Turn left onto Beco 35, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Arrive at Beco 35, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
