Name: John Ian Wing Parade, Instruction: Head northwest on John Ian Wing Parade, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 532.9 meters, Time: 383.7 seconds
Name: -, Instruction: Keep left, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 299.2 meters, Time: 215.5 seconds
Name: -, Instruction: Turn right, Distance: 166.9 meters, Time: 120.2 seconds
Name: Ivor Street, Instruction: Turn right onto Ivor Street, Distance: 108.4 meters, Time: 78.0 seconds
Name: Frances Street, Instruction: Turn left onto Frances Street, Distance: 99.9 meters, Time: 71.9 seconds
Name: Edith Street, Instruction: Turn right onto Edith Street, Distance: 146.5 meters, Time: 105.5 seconds
Name: John Street, Instruction: Turn right onto John Street, Distance: 17.5 meters, Time: 12.6 seconds
Name: Elimatta Street, Instruction: Turn left onto Elimatta Street, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 223.1 meters, Time: 160.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
