Name: Bolingbroke Road, Instruction: Head north on Bolingbroke Road, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Keep right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn slight left, Distance: 117.7 meters, Time: 84.7 seconds
Name: Dane Avenue, Instruction: Turn right onto Dane Avenue, Distance: 5.8 meters, Time: 4.2 seconds
Name: Blossomfield Drive, Instruction: Turn left onto Blossomfield Drive, Distance: 202.4 meters, Time: 145.7 seconds
Name: Flemington Road, Instruction: Turn left onto Flemington Road, Distance: 503.9 meters, Time: 362.8 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 167.1 meters, Time: 120.3 seconds
Name: Yorkdale Road, Instruction: Turn left onto Yorkdale Road, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
