Name: Rua Cuba, Instruction: Head northwest on Rua Cuba, Distance: 12.3 meters, Time: 8.8 seconds
Name: Rua Gruçaí, Instruction: Turn left onto Rua Gruçaí, Distance: 616.5 meters, Time: 443.8 seconds
Name: Rua Panamá, Instruction: Turn right onto Rua Panamá, Distance: 204.5 meters, Time: 147.3 seconds
Name: Rua Montevidéu, Instruction: Turn left onto Rua Montevidéu, Distance: 489.1 meters, Time: 352.1 seconds
Name: Rua Nicarágua, Instruction: Turn right onto Rua Nicarágua, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 206.1 meters, Time: 148.4 seconds
Name: Largo da Penha, Instruction: Turn right onto Largo da Penha, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 25.3 meters, Time: 18.2 seconds
Name: Largo da Penha, Instruction: Turn left onto Largo da Penha, Distance: 25.1 meters, Time: 18.1 seconds
Name: Largo da Penha, Instruction: Turn sharp right onto Largo da Penha, Distance: 52.3 meters, Time: 37.6 seconds
Name: Estrada da Penha, Instruction: Turn slight left onto Estrada da Penha, Distance: 377.3 meters, Time: 271.7 seconds
Name: Estrada da Penha, Instruction: Turn left onto Estrada da Penha, Distance: 85.7 meters, Time: 61.7 seconds
Name: Caminho do Peixoto, Instruction: Turn right onto Caminho do Peixoto, Distance: 13.4 meters, Time: 9.6 seconds
Name: Rua Merendiba, Instruction: Keep left onto Rua Merendiba, Distance: 137.6 meters, Time: 99.0 seconds
Name: -, Instruction: Arrive at Rua Merendiba, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
