Name: شارع فرج فضه, Instruction: Head northwest on شارع فرج فضه, Distance: 133.0 meters, Time: 95.8 seconds
Name: حارة حبيشه, Instruction: Turn left onto حارة حبيشه, Distance: 92.8 meters, Time: 66.8 seconds
Name: شارع محمد عبده, Instruction: Turn right onto شارع محمد عبده, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
