Name: Hepburn Street, Instruction: Head south on Hepburn Street, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 188.7 meters, Time: 135.8 seconds
Name: -, Instruction: Keep right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 478.8 meters, Time: 344.7 seconds
Name: -, Instruction: Turn slight right, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
