Name: Taman Selamat, Instruction: Head west on Taman Selamat, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.5 seconds
Name: Jalan Kembangan, Instruction: Enter the roundabout and take the 1st exit onto Jalan Kembangan, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn right, Distance: 121.3 meters, Time: 87.3 seconds
Name: Siglap Park Connector, Instruction: Turn right onto Siglap Park Connector, Distance: 22.4 meters, Time: 16.1 seconds
Name: Sims Avenue Park Connector, Instruction: Continue straight onto Sims Avenue Park Connector, Distance: 479.2 meters, Time: 345.0 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 254.4 meters, Time: 183.2 seconds
Name: Sims Avenue Park Connector, Instruction: Continue straight onto Sims Avenue Park Connector, Distance: 147.1 meters, Time: 105.9 seconds
Name: Sims Avenue Park Connector, Instruction: Turn left onto Sims Avenue Park Connector, Distance: 20.4 meters, Time: 14.7 seconds
Name: Sims Avenue Park Connector, Instruction: Turn right onto Sims Avenue Park Connector, Distance: 34.1 meters, Time: 24.6 seconds
Name: Sims Avenue Park Connector, Instruction: Turn slight right onto Sims Avenue Park Connector, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Continue straight, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 123.3 meters, Time: 88.8 seconds
Name: -, Instruction: Turn left, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
