Name: 3. Callejón de Río San Joaquín, Instruction: Head southwest on 3. Callejón de Río San Joaquín, Distance: 94.6 meters, Time: 68.1 seconds
Name: Avenida Casa de la Moneda, Instruction: Turn left onto Avenida Casa de la Moneda, Distance: 263.6 meters, Time: 189.8 seconds
Name: Calzada Legaria, Instruction: Turn sharp right onto Calzada Legaria, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 122.9 meters, Time: 88.5 seconds
Name: Calle Presa la Angostura, Instruction: Enter the roundabout and take the 3rd exit onto Calle Presa la Angostura, Distance: 701.6 meters, Time: 505.1 seconds
Name: Boulevard Miguel de Cervantes Saavedra, Instruction: Turn left onto Boulevard Miguel de Cervantes Saavedra, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 220.6 meters, Time: 158.9 seconds
Name: -, Instruction: Keep right, Distance: 17.4 meters, Time: 12.5 seconds
Name: Boulevard Miguel de Cervantes Saavedra, Instruction: Turn sharp left onto Boulevard Miguel de Cervantes Saavedra, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at Boulevard Miguel de Cervantes Saavedra, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
