Name: College Road, Instruction: Head west on College Road, Distance: 14.0 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: Khalfe Road, Instruction: Turn slight left onto Khalfe Road, Distance: 750.4 meters, Time: 540.3 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.1 seconds
Name: Pooke Road, Instruction: Turn left onto Pooke Road, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: Gideon Road, Instruction: Turn right onto Gideon Road, Distance: 236.9 meters, Time: 170.5 seconds
Name: -, Instruction: Keep right, Distance: 119.8 meters, Time: 86.3 seconds
Name: Lodewyk Road, Instruction: Turn right onto Lodewyk Road, Distance: 65.9 meters, Time: 47.4 seconds
Name: Hanlyn Crescent, Instruction: Turn left onto Hanlyn Crescent, Distance: 265.5 meters, Time: 191.2 seconds
Name: Athwood Road, Instruction: Turn right onto Athwood Road, Distance: 540.5 meters, Time: 389.1 seconds
Name: -, Instruction: Turn right, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
