Name: St. Clair Avenue West, Instruction: Head east on St. Clair Avenue West, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.3 seconds
Name: Northcliffe Boulevard, Instruction: Turn left onto Northcliffe Boulevard, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 124.2 meters, Time: 89.4 seconds
Name: Rosemount Avenue, Instruction: Turn right onto Rosemount Avenue, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 266.5 meters, Time: 191.9 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 367.9 meters, Time: 264.9 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 167.9 meters, Time: 120.9 seconds
Name: -, Instruction: Continue straight, Distance: 5.4 meters, Time: 3.9 seconds
Name: Bartlett Avenue North, Instruction: Turn right onto Bartlett Avenue North, Distance: 567.6 meters, Time: 408.7 seconds
Name: -, Instruction: Arrive at Bartlett Avenue North, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
