Name: Hoferichterweg, Instruction: Head west on Hoferichterweg, Distance: 81.5 meters, Time: 58.7 seconds
Name: Nauestraße, Instruction: Turn right onto Nauestraße, Distance: 152.8 meters, Time: 110.0 seconds
Name: Fauststraße, Instruction: Turn left onto Fauststraße, Distance: 303.3 meters, Time: 218.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 387.0 meters, Time: 278.7 seconds
Name: -, Instruction: Keep right, Distance: 159.3 meters, Time: 114.7 seconds
Name: -, Instruction: Keep left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Keep right, Distance: 11.6 meters, Time: 8.4 seconds
Name: Am Hochacker, Instruction: Turn left onto Am Hochacker, Distance: 9.8 meters, Time: 7.1 seconds
Name: Zehntfeldstraße, Instruction: Turn slight right onto Zehntfeldstraße, Distance: 466.7 meters, Time: 336.0 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
