Name: Rue Marius Aufan, Instruction: Head southeast on Rue Marius Aufan, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn slight left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: Boulevard de la Somme, Instruction: Turn left onto Boulevard de la Somme, Distance: 60.8 meters, Time: 43.8 seconds
Name: Rue Catulle Mendès, Instruction: Turn right onto Rue Catulle Mendès, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 79.5 meters, Time: 57.3 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.5 seconds
Name: Allée Arié et Gabriel Sandler, Instruction: Turn right onto Allée Arié et Gabriel Sandler, Distance: 110.0 meters, Time: 79.2 seconds
Name: Allée Myriam Monsonégo, Instruction: Turn left onto Allée Myriam Monsonégo, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Turn left onto Avenue Stéphane Mallarmé, Distance: 70.6 meters, Time: 50.8 seconds
Name: Avenue Émile et Armand Massard, Instruction: Keep left onto Avenue Émile et Armand Massard, Distance: 496.8 meters, Time: 357.7 seconds
Name: Rue Jean-Louis Forain, Instruction: Turn right onto Rue Jean-Louis Forain, Distance: 29.7 meters, Time: 21.4 seconds
Name: Rue Camille Pissarro, Instruction: Turn left onto Rue Camille Pissarro, Distance: 56.0 meters, Time: 40.3 seconds
Name: Rue de Saint-Marceaux, Instruction: Turn right onto Rue de Saint-Marceaux, Distance: 11.9 meters, Time: 8.6 seconds
Name: Rue Fernand Cormon, Instruction: Turn left onto Rue Fernand Cormon, Distance: 54.1 meters, Time: 38.9 seconds
Name: Rue Sisley, Instruction: Turn right onto Rue Sisley, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 489.5 meters, Time: 352.4 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Boulevard Berthier, Instruction: Turn right onto Boulevard Berthier, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Arrive at Boulevard Berthier, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
