Name: Franz-Schrank-Straße, Instruction: Head south on Franz-Schrank-Straße, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Keep left, Distance: 85.2 meters, Time: 61.4 seconds
Name: Wettstein-Weg, Instruction: Turn right onto Wettstein-Weg, Distance: 16.1 meters, Time: 11.6 seconds
Name: Suessenguth-Weg, Instruction: Turn left onto Suessenguth-Weg, Distance: 49.5 meters, Time: 35.6 seconds
Name: Therese-Weg, Instruction: Turn left onto Therese-Weg, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.2 seconds
Name: -, Instruction: Turn right, Distance: 207.0 meters, Time: 149.0 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.4 seconds
Name: Zuccalistraße, Instruction: Turn right onto Zuccalistraße, Distance: 37.4 meters, Time: 27.0 seconds
Name: Brunhildenstraße, Instruction: Turn left onto Brunhildenstraße, Distance: 481.6 meters, Time: 346.7 seconds
Name: Herthastraße, Instruction: Turn left onto Herthastraße, Distance: 77.5 meters, Time: 55.8 seconds
Name: Margit-Schramm-Straße, Instruction: Turn right onto Margit-Schramm-Straße, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
