Name: Gottfried-Keller-Straße, Instruction: Head northwest on Gottfried-Keller-Straße, Distance: 126.0 meters, Time: 90.7 seconds
Name: Goethestraße, Instruction: Turn left onto Goethestraße, Distance: 404.0 meters, Time: 290.9 seconds
Name: Hermann-Löns-Straße, Instruction: Turn slight right onto Hermann-Löns-Straße, Distance: 55.7 meters, Time: 40.1 seconds
Name: Ricarda-Huch-Weg, Instruction: Turn left onto Ricarda-Huch-Weg, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 449.3 meters, Time: 323.5 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 144.0 meters, Time: 103.7 seconds
Name: Johann-Strauß-Straße, Instruction: Turn right onto Johann-Strauß-Straße, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn slight right, Distance: 10.7 meters, Time: 7.7 seconds
Name: Jahnstraße, Instruction: Turn slight left onto Jahnstraße, Distance: 370.1 meters, Time: 266.5 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.2 seconds
Name: Friedenstraße, Instruction: Turn right onto Friedenstraße, Distance: 6.4 meters, Time: 4.6 seconds
Name: Jahnstraße, Instruction: Turn left onto Jahnstraße, Distance: 206.5 meters, Time: 148.7 seconds
Name: Rosenheimer Landstraße, Instruction: Turn left onto Rosenheimer Landstraße, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: Rosenheimer Landstraße, Instruction: Turn left onto Rosenheimer Landstraße, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
