Name: Ulfilasstraße, Instruction: Head southwest on Ulfilasstraße, Distance: 305.4 meters, Time: 219.9 seconds
Name: Mainstraße, Instruction: Turn slight right onto Mainstraße, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn slight left, Distance: 60.5 meters, Time: 43.6 seconds
Name: Wendelsteinstraße, Instruction: Turn right onto Wendelsteinstraße, Distance: 6.2 meters, Time: 4.5 seconds
Name: Floriansanger, Instruction: Turn left onto Floriansanger, Distance: 163.2 meters, Time: 117.5 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn slight left, Distance: 111.7 meters, Time: 80.4 seconds
Name: Äußere Hauptstraße, Instruction: Turn right onto Äußere Hauptstraße, Distance: 12.8 meters, Time: 9.2 seconds
Name: Amalienweg, Instruction: Turn left onto Amalienweg, Distance: 13.0 meters, Time: 9.4 seconds
Name: Amalienweg, Instruction: Turn left onto Amalienweg, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 211.3 meters, Time: 152.1 seconds
Name: Friedrich-Ebert-Straße, Instruction: Turn sharp right onto Friedrich-Ebert-Straße, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Arrive at Friedrich-Ebert-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
