Name: Ryehill Close, Instruction: Head northwest on Ryehill Close, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 158.3 meters, Time: 114.0 seconds
Name: -, Instruction: Turn left, Distance: 143.1 meters, Time: 103.0 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: Willerton Avenue, Instruction: Turn left onto Willerton Avenue, Distance: 276.6 meters, Time: 199.1 seconds
Name: Titirangi Road, 24, Instruction: Turn left onto Titirangi Road, 24, Distance: 86.6 meters, Time: 62.4 seconds
Name: Northall Road, Instruction: Turn right onto Northall Road, Distance: 378.5 meters, Time: 272.5 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 181.9 meters, Time: 131.0 seconds
Name: -, Instruction: Keep right, Distance: 161.4 meters, Time: 116.2 seconds
Name: -, Instruction: Turn slight right, Distance: 99.1 meters, Time: 71.4 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 118.3 meters, Time: 85.2 seconds
Name: -, Instruction: Turn left, Distance: 103.6 meters, Time: 74.6 seconds
Name: -, Instruction: Keep left, Distance: 148.9 meters, Time: 107.2 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
