Name: Farrow Lane, Instruction: Head southeast on Farrow Lane, Distance: 66.7 meters, Time: 48.0 seconds
Name: Zuttion Lane, Instruction: Turn right onto Zuttion Lane, Distance: 70.2 meters, Time: 50.5 seconds
Name: Stanley Street, Instruction: Turn right onto Stanley Street, Distance: 213.4 meters, Time: 153.6 seconds
Name: Edwin Street, Instruction: Turn left onto Edwin Street, Distance: 80.3 meters, Time: 57.8 seconds
Name: Tramway Street, Instruction: Turn right onto Tramway Street, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: Unwins Bridge Road, Instruction: Turn left onto Unwins Bridge Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: Richardsons Crescent, Instruction: Turn right onto Richardsons Crescent, Distance: 261.1 meters, Time: 188.0 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Continue straight, Distance: 351.1 meters, Time: 252.8 seconds
Name: -, Instruction: Turn right, Distance: 61.6 meters, Time: 44.4 seconds
Name: Thornley Street, Instruction: Turn left onto Thornley Street, Distance: 160.5 meters, Time: 115.5 seconds
Name: -, Instruction: Turn right, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn left, Distance: 108.1 meters, Time: 77.8 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
