Name: شارع 3, Instruction: Head west on شارع 3, Distance: 519.8 meters, Time: 374.2 seconds
Name: طريق الشروق, Instruction: Turn left onto طريق الشروق, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 338.4 meters, Time: 243.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: طريق الشروق, Instruction: Turn left onto طريق الشروق, Distance: 250.4 meters, Time: 180.3 seconds
Name: -, Instruction: Turn right, Distance: 89.8 meters, Time: 64.6 seconds
Name: شارع عقبه بن نافع, Instruction: Turn left onto شارع عقبه بن نافع, Distance: 479.0 meters, Time: 344.9 seconds
Name: -, Instruction: Keep left, Distance: 139.1 meters, Time: 100.2 seconds
Name: شارع الشيماء, Instruction: Turn slight left onto شارع الشيماء, Distance: 9.8 meters, Time: 7.0 seconds
Name: شارع موسى بن نصير, Instruction: Turn right onto شارع موسى بن نصير, Distance: 8.5 meters, Time: 6.2 seconds
Name: شارع الشيماء, Instruction: Turn left onto شارع الشيماء, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Turn slight left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 216.7 meters, Time: 156.0 seconds
Name: طريق الحريه, Instruction: Turn slight left onto طريق الحريه, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
