Name: Rue Charles Robin, Instruction: Head northwest on Rue Charles Robin, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Keep right, Distance: 50.8 meters, Time: 36.6 seconds
Name: Rue Albert Camus, Instruction: Turn left onto Rue Albert Camus, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: Rue Georg Friedrich Haendel, Instruction: Turn slight left onto Rue Georg Friedrich Haendel, Distance: 61.4 meters, Time: 44.2 seconds
Name: Rue Georg Friedrich Haendel, Instruction: Keep right onto Rue Georg Friedrich Haendel, Distance: 50.3 meters, Time: 36.2 seconds
Name: Quai de Jemmapes, Instruction: Turn left onto Quai de Jemmapes, Distance: 42.6 meters, Time: 30.7 seconds
Name: Pont Maria Casarès, Instruction: Turn sharp right onto Pont Maria Casarès, Distance: 45.0 meters, Time: 32.4 seconds
Name: Quai de Valmy, Instruction: Keep left onto Quai de Valmy, Distance: 121.1 meters, Time: 87.2 seconds
Name: Rue Monseigneur Rodhain, Instruction: Turn right onto Rue Monseigneur Rodhain, Distance: 5.4 meters, Time: 3.9 seconds
Name: Quai de Valmy, Instruction: Turn left onto Quai de Valmy, Distance: 40.6 meters, Time: 29.2 seconds
Name: Place Raoul Follereau, Instruction: Keep left onto Place Raoul Follereau, Distance: 37.4 meters, Time: 26.9 seconds
Name: Place Raoul Follereau, Instruction: Turn left onto Place Raoul Follereau, Distance: 13.3 meters, Time: 9.6 seconds
Name: Place Raoul Follereau, Instruction: Turn right onto Place Raoul Follereau, Distance: 25.7 meters, Time: 18.5 seconds
Name: Avenue de Verdun, Instruction: Turn sharp left onto Avenue de Verdun, Distance: 69.8 meters, Time: 50.3 seconds
Name: Passage Roland Topor, Instruction: Turn right onto Passage Roland Topor, Distance: 8.5 meters, Time: 6.2 seconds
Name: Avenue de Verdun, Instruction: Turn left onto Avenue de Verdun, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Continue straight, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Turn slight left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight right, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Keep right, Distance: 157.2 meters, Time: 113.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight right, Distance: 72.3 meters, Time: 52.0 seconds
Name: -, Instruction: Turn slight right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue de Chabrol, Instruction: Turn right onto Rue de Chabrol, Distance: 329.7 meters, Time: 237.4 seconds
Name: Place du 8 Novembre 1942, Instruction: Keep right onto Place du 8 Novembre 1942, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: Rue Pierre Semard, Instruction: Turn left onto Rue Pierre Semard, Distance: 25.4 meters, Time: 18.3 seconds
Name: Rue Rochambeau, Instruction: Turn slight right onto Rue Rochambeau, Distance: 13.9 meters, Time: 10.0 seconds
Name: Rue Rochambeau, Instruction: Continue straight onto Rue Rochambeau, Distance: 76.4 meters, Time: 55.0 seconds
Name: Rue Mayran, Instruction: Turn slight right onto Rue Mayran, Distance: 3.5 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at Rue Mayran, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
