Name: Rue de Babylone, Instruction: Head east on Rue de Babylone, Distance: 278.2 meters, Time: 200.3 seconds
Name: Rue Chomel, Instruction: Keep left onto Rue Chomel, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 146.9 meters, Time: 105.8 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn slight right, Distance: 6.0 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 221.8 meters, Time: 159.7 seconds
Name: -, Instruction: Turn right, Distance: 127.7 meters, Time: 92.0 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Rue de Rennes, Instruction: Turn left onto Rue de Rennes, Distance: 155.7 meters, Time: 112.1 seconds
Name: Rue de Rennes, Instruction: Turn right onto Rue de Rennes, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 255.5 meters, Time: 184.0 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Keep left, Distance: 25.8 meters, Time: 18.5 seconds
Name: -, Instruction: Keep left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: Pont des Arts, Instruction: Turn left onto Pont des Arts, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Continue straight, Distance: 0.9 meters, Time: 0.7 seconds
Name: -, Instruction: Continue straight, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 137.7 meters, Time: 99.2 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 167.0 meters, Time: 120.3 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn slight left, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
