Name: Joseph Banks Terrace, Instruction: Head southwest on Joseph Banks Terrace, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 120.1 meters, Time: 86.5 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 225.3 meters, Time: 162.2 seconds
Name: -, Instruction: Keep left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 246.4 meters, Time: 177.4 seconds
Name: Maungawhau Road, Instruction: Turn left onto Maungawhau Road, Distance: 10.0 meters, Time: 7.2 seconds
Name: Maungawhau Road, Instruction: Turn slight left onto Maungawhau Road, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 181.6 meters, Time: 130.8 seconds
Name: -, Instruction: Turn left, Distance: 448.6 meters, Time: 323.0 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Keep right, Distance: 297.2 meters, Time: 214.0 seconds
Name: -, Instruction: Turn slight left, Distance: 112.2 meters, Time: 80.8 seconds
Name: Puhi Huia Road, Instruction: Enter the roundabout and take the 2nd exit onto Puhi Huia Road, Distance: 127.9 meters, Time: 92.1 seconds
Name: Puhi Huia Road, Instruction: Keep left onto Puhi Huia Road, Distance: 92.4 meters, Time: 66.5 seconds
Name: Hillside Crescent North, Instruction: Keep left onto Hillside Crescent North, Distance: 32.4 meters, Time: 23.3 seconds
Name: Mount Eden Road, Instruction: Turn left onto Mount Eden Road, Distance: 84.6 meters, Time: 60.9 seconds
Name: Bellevue Road, Instruction: Turn right onto Bellevue Road, Distance: 222.8 meters, Time: 160.4 seconds
Name: Esplanade Road, Instruction: Turn left onto Esplanade Road, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at Esplanade Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
