Name: Designers Walk Lane, Instruction: Head west on Designers Walk Lane, Distance: 218.0 meters, Time: 157.0 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 142.6 meters, Time: 102.7 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: MacPherson Avenue, Instruction: Turn left onto MacPherson Avenue, Distance: 11.9 meters, Time: 8.6 seconds
Name: Poplar Plains Road, Instruction: Turn right onto Poplar Plains Road, Distance: 23.4 meters, Time: 16.8 seconds
Name: Boulton Drive, Instruction: Keep left onto Boulton Drive, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 255.5 meters, Time: 184.0 seconds
Name: -, Instruction: Turn left, Distance: 439.6 meters, Time: 316.5 seconds
Name: -, Instruction: Keep left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn left, Distance: 501.4 meters, Time: 361.0 seconds
Name: -, Instruction: Turn left, Distance: 59.5 meters, Time: 42.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
