Name: Rua Barcelos Domingos, Instruction: Head south on Rua Barcelos Domingos, Distance: 510.4 meters, Time: 367.5 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: Praça Doutor Raul Boaventura, Instruction: Turn sharp right onto Praça Doutor Raul Boaventura, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: Praça Doutor Raul Boaventura, Instruction: Turn sharp right onto Praça Doutor Raul Boaventura, Distance: 15.3 meters, Time: 11.0 seconds
Name: Rua Augusto Vasconcelos, Instruction: Turn sharp left onto Rua Augusto Vasconcelos, Distance: 346.4 meters, Time: 249.4 seconds
Name: -, Instruction: Keep left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.8 meters, Time: 10.7 seconds
Name: Rua Augusto Vasconcelos, Instruction: Turn slight left onto Rua Augusto Vasconcelos, Distance: 279.2 meters, Time: 201.1 seconds
Name: Avenida Cesário de Melo, Instruction: Turn right onto Avenida Cesário de Melo, Distance: 40.1 meters, Time: 28.9 seconds
Name: Avenida Cesário de Melo, Instruction: Turn right onto Avenida Cesário de Melo, Distance: 98.5 meters, Time: 70.9 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Keep right, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Keep right, Distance: 73.9 meters, Time: 53.2 seconds
Name: Avenida Maria Teresa, Instruction: Turn left onto Avenida Maria Teresa, Distance: 1.9 meters, Time: 1.4 seconds
Name: Avenida Maria Teresa, Instruction: Keep left onto Avenida Maria Teresa, Distance: 25.2 meters, Time: 18.1 seconds
Name: Avenida Cesário de Melo, Instruction: Turn sharp right onto Avenida Cesário de Melo, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 64.8 meters, Time: 46.7 seconds
Name: Rua Pontes Leme, Instruction: Turn left onto Rua Pontes Leme, Distance: 267.5 meters, Time: 192.6 seconds
Name: Rua Luiz Barata, Instruction: Turn left onto Rua Luiz Barata, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Arrive at Rua Luiz Barata, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
