Name: DL05, Instruction: Head southwest on DL05, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 370.0 meters, Time: 266.4 seconds
Name: -, Instruction: Turn slight right, Distance: 31.5 meters, Time: 22.7 seconds
Name: Leopoldstraße, Instruction: Turn left onto Leopoldstraße, Distance: 26.4 meters, Time: 19.0 seconds
Name: Erwin-Planck-Weg, Instruction: Turn right onto Erwin-Planck-Weg, Distance: 84.8 meters, Time: 61.0 seconds
Name: Morawitzkystraße, Instruction: Turn right onto Morawitzkystraße, Distance: 16.4 meters, Time: 11.8 seconds
Name: Sturystraße, Instruction: Turn left onto Sturystraße, Distance: 97.1 meters, Time: 69.9 seconds
Name: Siegfriedstraße, Instruction: Turn right onto Siegfriedstraße, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.6 seconds
Name: Bismarckstraße, Instruction: Turn left onto Bismarckstraße, Distance: 270.0 meters, Time: 194.4 seconds
Name: Herzogstraße, Instruction: Turn right onto Herzogstraße, Distance: 674.4 meters, Time: 485.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 102.7 meters, Time: 74.0 seconds
Name: Rankestraße, Instruction: Turn left onto Rankestraße, Distance: 160.4 meters, Time: 115.5 seconds
Name: Hohenzollernplatz, Instruction: Keep right onto Hohenzollernplatz, Distance: 28.4 meters, Time: 20.5 seconds
Name: Hohenzollernplatz, Instruction: Turn slight right onto Hohenzollernplatz, Distance: 41.5 meters, Time: 29.9 seconds
Name: Hohenzollernplatz, Instruction: Turn left onto Hohenzollernplatz, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn slight right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Continue straight, Distance: 108.0 meters, Time: 77.7 seconds
Name: Bauerstraße, Instruction: Turn right onto Bauerstraße, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at Bauerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
